index,Label
38679,0
15230,0
2190,1
40336,0
13988,0
39687,0
1928,1
38870,0
8928,0
7801,0
13931,0
33083,0
14125,0
39544,0
21724,0
38365,0
28780,0
31961,0
2404,1
5716,0
26218,0
38804,0
8180,0
6578,0
9383,0
7776,0
21112,0
32357,0
20318,0
1009,1
19525,0
35875,0
34376,0
36884,0
15011,0
22788,0
22529,0
26063,0
17936,0
29593,0
39202,0
2884,1
30333,0
30084,0
878,1
26721,0
14181,0
38090,0
35779,0
30036,0
21745,0
17895,0
7767,0
31602,0
38307,0
35976,0
30484,0
8525,0
36663,0
16975,0
7647,0
10231,0
27111,0
359,1
8136,0
27795,0
3132,1
41678,0
33774,0
36815,0
25680,0
23493,0
11455,0
22214,0
41059,0
31211,0
36022,0
35584,0
31827,0
15625,0
35870,0
29810,0
33395,0
22659,0
13637,0
1328,1
7362,0
39607,0
18389,0
14500,0
10771,0
36019,0
33747,0
38738,0
13827,0
15146,0
6951,0
28510,0
19628,0
2796,1
21771,0
32590,0
37911,0
5073,0
7196,0
5559,0
11681,0
5706,0
18192,0
11076,0
36202,0
32896,0
1356,1
35403,0
15435,0
15423,0
411,1
33362,0
18571,0
17802,0
34225,0
18654,0
41805,0
286,1
36958,0
32623,0
4161,0
25684,0
30110,0
30889,0
21268,0
38086,0
12802,0
20129,0
19857,0
12428,0
16570,0
16627,0
36898,0
30468,0
14499,0
37512,0
10608,0
35052,0
18616,0
9430,0
16764,0
18719,0
24927,0
2408,1
24669,0
21289,0
27391,0
7164,0
10368,0
37803,0
2544,1
13314,0
32020,0
21768,0
38794,0
4119,0
22130,0
4258,0
11684,0
9068,0
38618,0
29775,0
31719,0
33360,0
5844,0
7348,0
6300,0
10460,0
8096,0
32456,0
28707,0
41147,0
12509,0
10182,0
33793,0
20913,0
22503,0
16055,0
32023,0
29916,0
31949,0
31990,0
2054,1
4880,0
35934,0
1261,1
5860,0
16342,0
8213,0
32359,0
35530,0
28628,0
16807,0
4254,0
9085,0
16870,0
213,1
9011,0
13832,0
677,1
24178,0
6341,0
5414,0
17398,0
14174,0
38955,0
8544,0
10696,0
25254,0
23335,0
38650,0
10569,0
2616,1
4525,0
17319,0
24318,0
33374,0
39115,0
2584,1
19214,0
36147,0
2425,1
9875,0
13497,0
26592,0
35225,0
26046,0
25293,0
40598,0
39390,0
36278,0
34012,0
17841,0
5634,0
39995,0
29601,0
26936,0
10812,0
27571,0
40884,0
37163,0
16721,0
29121,0
39325,0
20602,0
34893,0
5132,0
41544,0
36494,0
9897,0
8825,0
2715,1
32288,0
6422,0
5133,0
8511,0
38985,0
2211,1
4832,0
17609,0
34221,0
2918,1
15633,0
35815,0
13573,0
36861,0
30633,0
2533,1
17,1
6460,0
35272,0
26350,0
21334,0
31791,0
9477,0
17114,0
31286,0
32865,0
17660,0
11875,0
33701,0
38516,0
36264,0
38254,0
15297,0
37310,0
18804,0
30920,0
21117,0
4590,0
14156,0
28851,0
10879,0
13999,0
24203,0
25115,0
6029,0
15118,0
15348,0
11816,0
37494,0
27346,0
12799,0
34210,0
297,1
8487,0
22635,0
10594,0
2497,1
250,1
32666,0
8518,0
3103,1
18916,0
14303,0
12256,0
23449,0
900,1
32051,0
28978,0
38175,0
26656,0
26889,0
33726,0
40418,0
16041,0
34569,0
3120,1
40961,0
9167,0
39872,0
23050,0
18380,0
6292,0
15561,0
26278,0
32382,0
11666,0
16961,0
29012,0
1650,1
21994,0
140,1
9851,0
13970,0
9146,0
25850,0
36419,0
27159,0
32495,0
30510,0
32996,0
29355,0
14764,0
21154,0
27194,0
28186,0
18904,0
1956,1
32867,0
38250,0
25956,0
8943,0
33456,0
19382,0
37120,0
37453,0
30584,0
28023,0
20613,0
13797,0
40199,0
7387,0
28137,0
8468,0
15884,0
24082,0
7047,0
40006,0
2817,1
21907,0
35657,0
4813,0
37636,0
36613,0
27783,0
30978,0
14366,0
37697,0
22416,0
12868,0
3618,1
121,1
4577,0
19161,0
1148,1
3547,1
41496,0
22133,0
34875,0
2376,1
11318,0
15253,0
41694,0
12116,0
10517,0
34283,0
2493,1
35689,0
41257,0
18355,0
25706,0
28373,0
17995,0
14722,0
8138,0
24678,0
2937,1
32079,0
8134,0
3559,1
3528,1
8870,0
13451,0
10982,0
36181,0
4097,0
7708,0
28591,0
38961,0
7793,0
16345,0
36910,0
41901,0
24136,0
15019,0
6807,0
6258,0
35730,0
32645,0
35765,0
520,1
10084,0
24413,0
12285,0
32300,0
13602,0
41608,0
41469,0
4264,0
20283,0
34147,0
18357,0
3579,1
17574,0
32424,0
21229,0
32862,0
13905,0
41865,0
1117,1
33915,0
41274,0
3994,1
41511,0
4749,0
11857,0
2878,1
26552,0
348,1
4847,0
8407,0
3469,1
14471,0
38132,0
26929,0
3706,1
30664,0
14398,0
12246,0
20024,0
214,1
3634,1
4072,0
20451,0
32663,0
14469,0
1664,1
2842,1
22802,0
37188,0
26565,0
1450,1
23633,0
34517,0
23562,0
34845,0
2242,1
26591,0
27198,0
34017,0
36006,0
6184,0
4628,0
4343,0
7598,0
17989,0
36109,0
3116,1
12642,0
41420,0
29760,0
14565,0
7137,0
10290,0
33527,0
41667,0
31642,0
12830,0
15081,0
20638,0
37608,0
513,1
26561,0
23734,0
16889,0
13363,0
38644,0
5823,0
14014,0
36773,0
7751,0
9704,0
24433,0
12945,0
30792,0
16298,0
15168,0
18505,0
11181,0
41025,0
14611,0
37282,0
4216,0
19949,0
8574,0
27325,0
30395,0
20248,0
17647,0
22370,0
41218,0
12503,0
6352,0
12535,0
6561,0
31352,0
24238,0
41692,0
24221,0
7275,0
12596,0
10159,0
14634,0
18352,0
5528,0
19052,0
4282,0
8542,0
38270,0
19227,0
29026,0
5522,0
37686,0
5665,0
3984,1
38493,0
34755,0
7185,0
23209,0
19518,0
23105,0
40523,0
12042,0
41897,0
401,1
16270,0
35598,0
24525,0
4546,0
15832,0
12480,0
36834,0
36460,0
30649,0
810,1
23339,0
30914,0
14353,0
6906,0
24630,0
7105,0
9498,0
19883,0
18094,0
28388,0
37026,0
17163,0
18924,0
34567,0
23000,0
36235,0
25907,0
31920,0
25271,0
22654,0
7828,0
13312,0
16460,0
29552,0
26075,0
13538,0
39113,0
8846,0
292,1
8025,0
31081,0
17034,0
3144,1
23306,0
11396,0
15724,0
1497,1
41140,0
12904,0
41344,0
7451,0
30982,0
40018,0
3740,1
21643,0
7209,0
2130,1
35091,0
19027,0
6983,0
1997,1
36286,0
18273,0
21594,0
18503,0
21283,0
22871,0
24731,0
28813,0
36903,0
12496,0
7010,0
19764,0
12539,0
22095,0
40810,0
30237,0
34507,0
31410,0
30918,0
17255,0
34001,0
12494,0
31064,0
29274,0
3014,1
3344,1
34499,0
38608,0
36666,0
18340,0
34332,0
40171,0
23229,0
19892,0
36724,0
36042,0
15400,0
5904,0
1836,1
28701,0
6117,0
41535,0
15243,0
29219,0
17354,0
5047,0
31270,0
1604,1
31717,0
28915,0
7696,0
5679,0
33931,0
12156,0
11416,0
28842,0
22726,0
40187,0
36749,0
15247,0
27411,0
19415,0
27587,0
10906,0
24954,0
37276,0
7978,0
4907,0
30506,0
14190,0
4545,0
18491,0
15751,0
6694,0
34126,0
35207,0
1818,1
24939,0
21349,0
31121,0
5862,0
17416,0
38748,0
1321,1
11045,0
747,1
41298,0
27680,0
7872,0
11177,0
34167,0
31280,0
37948,0
41375,0
10581,0
26041,0
35460,0
21091,0
1921,1
24202,0
34248,0
2467,1
13969,0
17405,0
3268,1
2873,1
41313,0
8590,0
10884,0
33864,0
18336,0
7530,0
32009,0
37571,0
40205,0
3135,1
40242,0
11286,0
25283,0
21013,0
101,1
32659,0
21293,0
34432,0
12152,0
63,1
41856,0
38746,0
2604,1
32486,0
37534,0
40998,0
9787,0
41797,0
14765,0
26793,0
19291,0
5224,0
25561,0
14869,0
34284,0
15738,0
18560,0
4391,0
30943,0
14054,0
25149,0
5138,0
6463,0
11754,0
32325,0
32648,0
22949,0
15406,0
34379,0
27149,0
32699,0
19704,0
37478,0
7107,0
32864,0
26590,0
37488,0
14208,0
38572,0
26965,0
9302,0
18923,0
22014,0
28267,0
28723,0
9333,0
16441,0
33970,0
23670,0
37661,0
18957,0
40078,0
5245,0
1715,1
28509,0
21370,0
22857,0
32503,0
15559,0
20744,0
13166,0
13096,0
20663,0
15992,0
11176,0
5220,0
17457,0
37331,0
16323,0
38331,0
32465,0
20110,0
23407,0
11389,0
795,1
581,1
2157,1
5673,0
33442,0
33294,0
26876,0
21428,0
32434,0
13118,0
40896,0
17028,0
13302,0
33506,0
19922,0
5417,0
6445,0
3417,1
26408,0
33697,0
20816,0
5145,0
23766,0
9299,0
23282,0
971,1
892,1
33053,0
33059,0
27947,0
39148,0
35215,0
40746,0
33966,0
39690,0
34190,0
4953,0
37255,0
33823,0
41096,0
20775,0
11402,0
40619,0
13976,0
4612,0
33034,0
12709,0
40303,0
36488,0
31724,0
18399,0
18367,0
37648,0
19150,0
31829,0
15851,0
1220,1
37432,0
34145,0
20210,0
37267,0
33263,0
35233,0
25358,0
10160,0
